country,year,inflation_rate,gdp_per_capita,gov_health_exp,oop_spending,pop_65_plus,log_gdp_per_capita
AFE,2011,8.97120640995788,1761.98926096159,2.79462329401432,17.0003192995585,2.95166366434947,7.47476609103592
AFE,2012,9.15870843167905,1732.03802145335,2.73582989870811,16.7880608812188,2.96217852568916,7.4576312291479585
AFE,2013,5.74883133553454,1706.02274412621,2.62592123235301,18.926038561047,2.97806604990712,7.442506046739777
AFE,2014,5.52581923392517,1690.16679245944,2.62505263151567,18.072682957507,2.99814399760311,7.4331739794332705
AFE,2015,5.09856164363687,1498.8752400759,2.67971494433485,19.6008767100439,3.0209800627081,7.313137210348478
AFE,2016,6.44687722255584,1334.47050032928,2.74208699626195,19.3609538334728,3.04497679911034,7.197038943447408
AFE,2017,6.22137528933118,1528.10422421284,2.73600482718679,17.0836177225454,3.07482831431294,7.332437368558743
AFE,2018,4.6898064677633,1552.07372194919,2.72570294751678,15.1552139416278,3.11392234821198,7.34799129269114
AFE,2019,4.10285075461156,1507.08559963484,2.73567553327344,15.3988094246281,3.15714194166587,7.318596310640485
AFE,2020,5.19162942092851,1351.59166910879,3.1387376262421,15.4093905810149,3.19216910200426,7.209777785953448
AFE,2021,6.82472709282067,1562.41617477738,3.08059075645484,14.5502080853872,3.21657276924908,7.354628561630998
AFE,2022,10.8834775726018,1679.32762166466,2.74728133485323,15.9709593294462,3.24611138116328,7.426744066280393
AFE,2023,7.39918558080627,1571.44918918981,2.69883179761905,16.8899627524771,3.28630347344117,7.3603896759316
AFE,2024,4.77085731915833,1615.39635562849,,,3.33096021429811,7.387954478579462
AFG,2000,,174.930991430166,,,2.26197021041933,5.170091824002358
AFG,2001,,138.706821676113,,,2.26194811585133,4.9395460959663104
AFG,2002,,178.954088379235,0.08418062,85.37560272,2.26397395055888,5.192701753795908
AFG,2003,,198.871115728727,0.65096337,86.06919098,2.26675269120301,5.297672737462982
AFG,2004,,221.763653873013,0.54292566,84.52758789,2.2686467503968,5.406111361320887
AFG,2005,12.6862687216715,254.184249149336,0.5291841,78.97008514,2.26974934650551,5.541985829931637
AFG,2006,6.78459655001655,274.218553561575,0.49784002,76.82497406,2.2717800234734,5.617565522251692
AFG,2007,8.68057078513405,376.223152003876,0.55994755,78.16998291,2.27621524044213,5.932836927464993
AFG,2008,26.4186641547443,381.73323802844,0.62779975,75.40338898,2.28356920247549,5.9473382400541785
AFG,2009,-6.81116108898995,452.053705477043,0.53190351,72.77924347,2.29354363572652,6.116010673592889
AFG,2010,2.17853752389418,560.621505463146,0.46915731,78.9966507,2.30661490116607,6.330828145182043
AFG,2011,11.8041858089129,606.694676337726,0.47999981,73.25517273,2.32214045471626,6.409672578756921
AFG,2012,6.44121280934117,651.417134470046,0.34288675,74.48620605,2.33791133871121,6.480684134151277
AFG,2013,7.38577178397855,637.087099117099,0.44335932,72.04785919,2.34976901406028,6.4584747930192385
AFG,2014,4.67399603536344,625.054941813938,0.47265697,73.05592346,2.35653566515757,6.439438133724786
AFG,2015,-0.661709164713741,565.569730408751,0.52267277,78.3822937,2.35669506261475,6.339600162758528
AFG,2016,4.38389195513914,522.082215583898,0.60012972,75.97433472,2.35549736125691,6.259738651679514
AFG,2017,4.97595150553832,525.469770891619,0.64313394,75.48258209,2.35973702156897,6.266193914715114
AFG,2018,0.626149149168846,491.337221382603,0.55239552,76.22302246,2.36712047688815,6.199163891020855
AFG,2019,2.30237251516833,496.6025042585,0.49705607,76.818367,2.37615338349114,6.20980157408614
AFG,2020,5.60188791482224,510.787063366811,1.18621242,74.81396484,2.37073382439812,6.237908646670804
AFG,2021,5.13320340824962,356.496214115892,0.71036398,77.21405029,2.35254951873996,5.879124772192372
AFG,2022,13.7121023720064,357.261152798144,0.18147056,77.94615173,2.35514236704931,5.881262197551399
AFG,2023,-4.64470870797774,413.757894705303,0.24774949,77.1395874,2.37753752819851,6.027694963742444
AFG,2024,-6.60118564073725,,,,2.400970026561,
AFW,2000,2.53077516737996,518.969226054683,0.696879546604546,61.9253813527986,3.03474946415658,6.253769629160157
AFW,2001,4.36152914007256,532.972787221754,0.855214577100921,61.2428019682047,3.02115811436405,6.280344877402789
AFW,2002,3.18869330220589,619.337335030759,0.684064616676621,62.7712319179277,3.01042000313452,6.430263418835804
AFW,2003,1.76090410099628,697.481256337088,0.917051106044699,67.5063819417725,3.00133268129033,6.548908344173893
AFW,2004,0.694336305945757,838.213391665852,1.07706997872024,62.3818064292877,2.99161624911916,6.732465014611882
AFW,2005,5.63163351357613,999.770023047319,1.05319387761381,61.3961055428952,2.98142009788388,6.908525005713813
AFW,2006,4.41589984169561,1234.64185574403,0.938377083734918,64.4714837227775,2.97157394373316,7.119345835303991
AFW,2007,3.60736767984596,1405.88018847409,0.847815736038644,64.564979386339,2.96305191429749,7.249129899596686
AFW,2008,8.45297623326755,1666.52048270501,0.767015141772623,65.3774034058905,2.95853510122971,7.4190930611956025
AFW,2009,3.2824403758932,1453.4952836253,0.767048467529496,64.4873968050217,2.95599871749777,7.2824142353210615
AFW,2010,1.78484420477113,1662.63365844147,0.684518900204214,65.1214591805531,2.95377118369849,7.416759439956387
AFW,2011,4.01869907534491,1844.05436728177,0.706785950634921,63.389168503165,2.9520366927679,7.520264023401866
AFW,2012,4.57837463515948,1941.11824321812,0.72308299560876,62.9192567209468,2.94862614409658,7.571534534339689
AFW,2013,2.43920076104126,2131.60609132899,0.72077625645611,61.8652827851839,2.94020552114251,7.665100027872314
AFW,2014,1.76843582146223,2221.35033761012,0.651210902547373,62.3381407413585,2.92432397377382,7.706320625462654
AFW,2015,2.13081738058791,1860.72768628324,0.742713444156151,61.7315101875047,2.91026540802581,7.52926019917355
AFW,2016,1.48741550755546,1630.03943895258,0.721870677963045,62.9645076254619,2.90320940127754,7.396972783170219
AFW,2017,1.72548602374731,1574.23056437855,0.799872170682834,63.4686592230104,2.90033985448859,7.36215693062737
AFW,2018,1.78404994832044,1720.14009242722,0.744825549457975,62.4175847942489,2.9026878912076,7.450742194657585
AFW,2019,1.98309228487232,2216.38505520833,0.727961933468943,59.2587332554924,2.91018496114195,7.704083877533961
AFW,2020,2.49037783931949,2030.86165860293,0.902921014711324,58.1726244312954,2.91650406072922,7.616707724984534
AFW,2021,3.74556782333009,2112.79407637079,0.909341818849809,60.1652402087474,2.92399320509607,7.656239752211016
AFW,2022,7.94925144848567,2138.47315259913,0.916696263397926,61.1621074773845,2.93979179105091,7.668314887331834
AFW,2023,5.22116801324002,1841.85506354867,0.956329000337115,57.0272682079209,2.96224838411953,7.51907131298689
AFW,2024,3.60804426950566,1411.33702938476,,,2.98795331385258,7.25300107893739
AGO,2000,324.99687160132,563.733795571487,0.98097837,27.3046875,2.67386240277283,6.336354461835948
AGO,2001,152.561022469298,533.586202412447,1.80684185,45.09108734,2.69953363866782,6.281492994191896
AGO,2002,108.897436089429,999.065855913758,1.15548134,49.66205215,2.71997445477399,6.90782113272749
AGO,2003,98.2241436573304,1133.66331960607,1.28335834,48.51068878,2.73612839974248,7.034091251202417
AGO,2004,43.5421067519686,1451.47117872493,1.4713583,46.89109802,2.7468515097748,7.281021645999032
AGO,2005,22.9535138513939,2145.88621096327,1.14204562,42.33265686,2.74989158894821,7.671773797388704
AGO,2006,13.3052101780031,2930.4442860732,1.28968012,30.66570091,2.74799317061731,7.983250510961242
AGO,2007,12.2514974459486,3515.05678986535,1.53876388,28.38397217,2.74350079527883,8.165095410513464
AGO,2008,12.4758291326397,4578.15526451517,1.91652381,21.6532383,2.73834722321665,8.42926982003488
AGO,2009,13.7302839288408,3645.14846562976,2.23769045,15.50890541,2.73339143935583,8.20142667454938
AGO,2010,14.4696564932576,4101.63715566712,1.46826649,19.34375572,2.72990245687615,8.319385254621642
AGO,2011,13.4824679218511,5184.15269149912,1.52542961,17.99380875,2.72825960098894,8.553554568928021
AGO,2012,10.2779049218839,5702.45306277434,1.39434171,17.61917686,2.72626706322346,8.648827070886327
AGO,2013,8.77781429332623,5688.57916215215,1.5071826,21.3492775,2.71903360210842,8.646391563427688
AGO,2014,7.2803873036112,5649.68762469139,1.16797769,26.8761673,2.70449443635977,8.63953252022042
AGO,2015,9.35597215533783,3641.72893919944,1.08924341,33.52316666,2.69128111509288,8.200488388310973
AGO,2016,30.6944150806719,2051.81462126253,1.05520773,35.20893097,2.68501394815556,7.6269671164307695
AGO,2017,29.8444799015679,2790.71886869768,1.12824702,34.12101364,2.68524168427026,7.934412767085319
AGO,2018,19.628937970152,2860.0936483682,0.97981894,36.24733353,2.69303871230468,7.958959225254077
AGO,2019,17.080954143438,2493.67884440177,1.00303984,33.14308548,2.70797798313284,7.821915280221881
AGO,2020,22.2715392470509,1759.35619918264,1.46055436,28.62218094,2.72560876675849,7.473271453454162
AGO,2021,25.754294884189,2303.90812662776,1.51676536,26.11725616,2.74470411565894,7.7427960963404034
AGO,2022,21.3552901320822,3682.1131513698,1.30711842,30.03861618,2.77333855965152,8.211513638582367
AGO,2023,13.6441017767714,2916.13663284275,1.1340301,32.54667664,2.81144936806097,7.978357808963675
AGO,2024,28.2404948915772,2665.87444776753,,,2.85242119224488,7.888662446871244
ALB,2000,0.0500181363468103,1160.42047054038,2.73330545,51.81419754,7.33069132123503,7.057399078527736
ALB,2001,3.10758827031435,1326.41652388077,2.72089767,49.1281929,7.60579089173614,7.190989868939882
ALB,2002,7.7705258343155,1479.83884572006,2.55822611,50.85527039,7.91442944240309,7.300363993843398
ALB,2003,0.484002611818502,1908.69900687608,2.63895035,49.91648483,8.24096501461232,7.554700920599384
ALB,2004,2.28001916938098,2446.90949947798,2.7876544,48.34204102,8.58600861824839,7.802989673781348
ALB,2005,2.36658195679795,2741.72136549578,2.65562892,49.31101227,8.95907851317178,7.91670590557229
ALB,2006,2.37072831904284,3057.77257038113,2.60609818,49.04850388,9.36032202611209,8.025768993685482
ALB,2007,2.93268248162317,3743.05529896187,2.71601963,49.40164948,9.77459627170979,8.227924607510275
ALB,2008,3.32087090389274,4498.50486763601,2.27345061,56.23107147,10.1805404435552,8.411722640290511
ALB,2009,2.26692209450826,4213.65007574693,2.33076763,56.53381729,10.5633856320802,8.346321848187078
ALB,2010,3.62710091517479,4149.14469936847,2.35073113,59.96680832,10.9200550479108,8.330898479934596
ALB,2011,3.42807130141501,4465.70914328865,2.36980104,59.84096909,11.2281830971209,8.404407206917165
ALB,2012,2.03159268395296,4280.93316338873,2.42631125,58.21257782,11.5093140765442,8.362159860290943
ALB,2013,1.93762080205223,4542.92903556739,2.54741931,57.72882462,11.8201351814959,8.421547343106369
ALB,2014,1.62586504402613,4793.59751131525,2.56312561,59.18069077,12.1667692065035,8.475245044548405
ALB,2015,1.89617402592356,4199.53912925398,2.67593837,57.34070206,12.5431065412926,8.342968160141583
ALB,2016,1.27543168367423,4457.63412207495,2.84762025,56.51747894,12.9202121629827,8.40259774745396
ALB,2017,1.98666133171194,5006.36012951959,2.74185801,57.18074036,13.3053911120274,8.518664134952077
ALB,2018,2.02805963071134,5897.65452588774,2.84073949,56.41461563,13.739521828078,8.682479557427557
ALB,2019,1.41109078954242,6069.43903131027,2.89433575,56.41222382,14.2480986631067,8.7111862094957
ALB,2020,1.6208866171702,6027.91350716348,2.97455955,59.39613342,14.7670044100644,8.704322092253388
ALB,2021,2.04147163139544,7242.45513146613,2.91998744,59.70423508,15.2660050732804,8.887853599645704
ALB,2022,6.72520271530059,7756.96188744253,3.72758842,48.33619308,15.7763381628571,8.956474935309647
ALB,2023,4.75834555150038,9730.86921906893,3.49766994,48.27462769,16.3020000675759,9.183161265575237
ALB,2024,2.21587375089991,11377.7757431099,,,16.922756199529,9.339505122201638
ARE,2000,,29865.502347066,1.64852011,22.08343506,1.27509767571933,10.304492808507433
ARE,2001,,27745.1708087672,1.91321862,15.08593273,1.36704076347815,10.230853120779987
ARE,2002,,27753.6089526346,1.66402185,28.04150772,1.46110796886191,10.231157193766661
ARE,2003,,29659.5428567811,1.62154937,27.45693016,1.55695097170943,10.29757291818057
ARE,2004,,33376.7152295209,1.40612853,30.40838051,1.65902116678675,10.415643747585033
ARE,2005,,38719.3138307623,1.3188324,30.13919067,1.77435640189591,10.56411964649099
ARE,2006,,44342.6048322482,1.33256018,29.70960617,1.82537781238147,10.699723779645723
ARE,2007,,45854.7325158162,1.50558293,28.87625122,1.70081273725431,10.73325549747708
ARE,2008,12.2504202448139,50054.1700681803,1.8716644,25.13651848,1.55490586560652,10.820881077474029
ARE,2009,1.5618131744907,37803.0663738777,2.98415613,16.1003685,1.4728365253439,10.540171951850304
ARE,2010,0.877983288285867,44795.2949302268,2.65301466,17.94574356,1.42194203445395,10.709880712532746
ARE,2011,0.87734659568512,51921.904511613,2.58301282,16.88403702,1.43143405857427,10.857515291870534
ARE,2012,0.662268900269008,53141.6124340099,2.42006803,16.73880386,1.46759051494251,10.880734379452996
ARE,2013,1.1011183637571,53247.2409495441,2.52060986,17.15579414,1.48322611511691,10.882720049214665
ARE,2014,2.34626865671642,52725.2358407934,2.50834441,17.807827,1.49656887451666,10.87286844444247
ARE,2015,4.06996608361593,44910.334995523,2.46962833,17.78964996,1.50462849552252,10.71244549165919
ARE,2016,1.61748808904197,42721.0999383185,2.97157669,15.99159431,1.48522186061082,10.662471628285482
ARE,2017,1.96682557818842,43733.6192287435,2.19714189,11.41661835,1.47888416773632,10.685895269488022
ARE,2018,3.06863379251996,47135.3591943971,2.1139648,12.69611263,1.50109608885113,10.760799939616831
ARE,2019,-1.93108114782172,45938.6073581994,2.2531426,12.23162079,1.52798923207058,10.735082929367197
ARE,2020,-2.07940317940943,37991.7492971665,3.55229998,11.21054459,1.56409085694231,10.545150612533064
ARE,2021,0.179935336174431,44118.5047192771,3.40082932,10.46759415,1.61923304492939,10.694657247540084
ARE,2022,5.29122604376849,50759.7589231191,3.0025692,9.71845818,1.63973912932682,10.834878872920635
ARE,2023,1.62670837213248,49850.6872175164,3.31956935,9.66616821,1.69563170962521,10.816807620705218
ARE,2024,1.66336510224894,50273.5060469837,,,1.76696037563358,10.825253389569886
ARM,2000,-0.790883768934757,593.450581742282,0.95468217,62.010952,9.14660843411173,6.387637586926805
ARM,2001,3.1459046468502,659.588988535629,1.33908558,50.87960052,9.55277603916158,6.493131843934367
ARM,2002,1.06004929341666,742.651118319819,1.17184055,75.23449707,10.0057434964312,6.611571997862957
ARM,2003,4.7215533660534,882.030167695474,1.20635736,76.42555237,10.428801746382,6.783359365020886
ARM,2004,6.96126135875795,1130.08791444158,1.29411483,71.58870697,10.8083562803615,7.0309352046969265
ARM,2005,0.638928002410097,1557.48458908655,1.47841108,62.93592072,11.1165828607505,7.351469210859849
ARM,2006,2.89235662459003,2041.65267068997,1.58640754,61.17357254,11.3035413260602,7.622004570912575
ARM,2007,4.40736089644516,2962.70234594569,1.61389112,58.22918701,11.3129067684454,7.994194558277995
ARM,2008,8.94995335353387,3777.66859313767,1.48813355,71.43701172,11.153010652063,8.237127002530524
ARM,2009,3.40676682683801,2820.5926553347,1.81169069,73.63291931,10.9145543744196,7.945056775904101
ARM,2010,8.17636138473951,3041.34450723339,1.68628836,77.62413025,10.7247572394866,8.020383716648002
ARM,2011,7.65000807859294,3349.55309771906,1.6728667,78.41966248,10.6448924244267,8.116880714987715
ARM,2012,2.55802007757907,3511.56399687426,1.57816982,78.58730316,10.6601563201715,8.164101533226702
ARM,2013,5.7896677854465,3680.16692158886,1.37565804,82.8755722,10.7083857139631,8.210985079155792
ARM,2014,2.98130868933672,3852.11800610384,1.50548005,82.48136902,10.7767290281828,8.25663797122797
ARM,2015,3.73169119261693,3512.39350276709,1.61020839,81.62987518,10.923814112631,8.164337659305383
ARM,2016,-1.40360755900899,3524.42476874707,1.63735199,80.6469574,11.1448655565615,8.167756209758831
ARM,2017,0.969553268816137,3869.05373867752,1.37250984,84.34803009,11.4171755495395,8.261023671890602
ARM,2018,2.52023382001637,4196.00562301769,1.23468125,84.27638245,11.7116892663124,8.342126603103408
ARM,2019,1.44344660770698,4597.22887399548,1.41167367,84.79430389,12.0453317121053,8.43342648094282
ARM,2020,1.21143577838464,4268.68093304583,2.35673714,77.84781647,12.343281529839,8.359294380490686
ARM,2021,7.1848362944337,4685.17997128509,2.18868065,78.65647888,12.600194715032,8.452373024494369
ARM,2022,8.64091108973854,6571.97445545099,1.71535587,79.0908432,12.9151582271286,8.790721741971375
ARM,2023,1.98041877615553,8159.08720967996,1.46441019,80.47196198,13.2110458915952,9.007010135361822
